titulo_do_filme,data_de_lancamento,genero,mpa_classificacao,total_bruto,bruto_ajustado_pela_inflacao
The Parent Trap,1998-07-29,comedia,PG,66308518,119185667
Firelight,1998-09-04,drama,R,784419,1409943
Simon Birch,1998-09-11,drama,PG,18253415,32809442
Holy Man,1998-10-09,comedia,PG,12069719,21694605
Beloved,1998-10-16,drama,R,22852487,41062682
The Waterboy,1998-11-06,comedia,PG-13,161491646,288691833
I'll Be Home For Christmas,1998-11-13,comedia,PG,12214338,21941840
A Bug's Life,1998-11-20,aventura,G,162798565,288981698
Enemy of the State,1998-11-20,acao,R,111549836,198472008
Rushmore,1998-12-11,comedia_humor_negro,R,17105219,28392518
A Civil Action,1998-12-25,drama,PG-13,56709981,94139530
Mighty Joe Young,1998-12-25,aventura,PG,50632037,87906042
My Favorite Martian,1999-02-12,comedia,PG,36850101,61150849
The Other Sister,1999-02-26,comedia_romantica,PG-13,27807627,46145331
Doug's 1st Movie,1999-03-26,aventura,G,19421271,32228598
Ten Things I Hate About You,1999-03-31,comedia_romantica,PG-13,38177966,63354375
Endurance,1999-05-14,nao_definido,PG,229128,380218
Instinct,1999-06-04,drama,R,34105207,56595842
Tarzan,1999-06-16,aventura,G,171091819,283900254
Summer of Sam,1999-07-02,drama,R,19288130,32007656
Inspector Gadget,1999-07-23,comedia,PG,97387965,161610341
The Sixth Sense,1999-08-06,suspense,PG-13,293506292,485424724
The 13th Warrior,1999-08-27,acao,R,32698899,54262148
Breakfast of Champions,1999-09-17,comedia,R,178287,295851
Mumford,1999-09-24,comedia,R,4559569,7566363
"Mystery, Alaska",1999-10-01,comedia,R,8891623,14755189
The Straight Story,1999-10-15,drama,G,6197866,10111144
The Insider,1999-11-05,drama,R,28965197,47794214
Toy Story 2,1999-11-19,aventura,G,245852179,404450426
Cradle Will Rock,1999-12-08,drama,R,2899970,4609153
Deuce Bigalow: Male Gigolo,1999-12-10,comedia,R,65535067,106921374
Bicentennial Man,1999-12-17,drama,PG,58220776,94838225
Play it to the Bone,1999-12-24,comedia,R,8427204,13180524
Fantasia 2000 (IMAX),2000-01-01,musical,G,60507228,94852354
Gun Shy,2000-02-04,comedia,R,1638202,2562155
The Tigger Movie,2000-02-11,aventura,G,45542421,71228678
Mission to Mars,2000-03-10,aventura,PG,60874615,95208344
High Fidelity,2000-03-31,comedia,R,27277055,42661516
Keeping the Faith,2000-04-14,comedia_romantica,PG-13,37036404,57925202
Dinosaur,2000-05-19,aventura,PG,137748063,215438985
Shanghai Noon,2000-05-26,ocidental,PG-13,56932305,89042541
Gone in 60 Seconds,2000-06-09,acao,PG-13,101643008,158970411
Fantasia 2000 (Theatrical Release),2000-06-16,musical,G,9103630,14238144
The Kid,2000-07-07,comedia,PG,69688384,108993148
Coyote Ugly,2000-08-04,drama,PG-13,60786269,95070168
The Crew,2000-08-25,comedia,PG-13,13019253,20362201
Duets,2000-09-15,drama,R,4734235,7404372
Remember the Titans,2000-09-29,drama,PG,115654751,180742479
Unbreakable,2000-11-22,suspense,PG-13,94999143,148208901
102 Dalmatians,2000-11-22,comedia,G,66941559,104055039
The Emperor's New Groove,2000-12-15,aventura,G,89296573,136789252
"O Brother, Where Art Thou?",2000-12-22,comedia,PG-13,45506619,67922002
Double Take,2001-01-12,acao,PG-13,29823162,44418589
Recess: School's Out,2001-02-16,comedia,G,36696761,54656124
Just Visiting,2001-04-06,comedia,PG-13,4777007,7114869
Pearl Harbor,2001-05-25,acao,PG-13,198539855,295705112
Atlantis: The Lost Empire,2001-06-08,aventura,PG,84052762,125188122
crazy/beautiful,2001-06-29,drama,PG-13,16929123,25214223
The Princess Diaries,2001-08-03,comedia,G,108244774,161218928
Bubble Boy,2001-08-24,comedia,PG-13,5002310,7450434
Max Keeble's Big Move,2001-10-05,comedia,PG,17292381,25749730
Corky Romano,2001-10-12,comedia,PG-13,23978402,35705805
High Heels and Low Lifes,2001-10-26,nao_definido,R,226792,337782
"Monsters, Inc.",2001-11-02,aventura,G,289423425,416073179
Out Cold,2001-11-21,comedia,PG-13,13906394,20700691
The Royal Tenenbaums,2001-12-14,comedia_humor_negro,R,52353636,76758193
Beauty and the Beast (IMAX),2002-01-01,musical,G,25487028,36980311
Frank McKlusky C.I.,2002-01-01,nao_definido,nao_definido,0,0
Snow Dogs,2002-01-18,comedia,PG,81150692,117745317
The Count of Monte Cristo,2002-01-25,drama,PG-13,54228104,78682079
Peter Pan: Return to Neverland,2002-02-15,aventura,G,48430258,70269715
Reign of Fire,2002-02-19,acao,PG-13,43061982,62480631
Sorority Boys,2002-03-22,comedia,R,10198766,14797862
The Rookie,2002-03-29,drama,G,75600072,109691666
Big Trouble,2002-04-05,comedia,PG-13,7262288,10537188
ESPN's Ultimate X - The Movie,2002-05-10,documentario,PG,4197175,6089874
Bad Company,2002-06-07,acao,PG-13,30157016,43756218
Lilo & Stitch,2002-06-21,aventura,PG,145771527,211506702
The Country Bears,2002-07-26,aventura,G,16988996,24650121
Signs,2002-08-02,suspense,PG-13,227965690,330754439
Sen to Chihiro no Kamikakushi,2002-09-20,aventura,PG,10049886,14338992
Sweet Home Alabama,2002-09-27,comedia,PG-13,127214072,184521151
Moonlight Mile,2002-09-27,drama,PG-13,6830957,9909094
Tuck Everlasting,2002-10-11,drama,PG,19161999,27789959
The Santa Clause 2,2002-11-01,comedia,G,139225854,201959095
Treasure Planet,2002-11-27,aventura,PG,38120554,55189145
The Hot Chick,2002-12-13,comedia,PG-13,35081550,50624654
25th Hour,2002-12-19,drama,R,13084595,18325463
The Recruit,2003-01-31,suspense,PG-13,52784696,73793522
Shanghai Knights,2003-02-07,aventura,PG-13,60470220,84537962
The Jungle Book 2,2003-02-14,aventura,G,47901582,66966883
Bringing Down the House,2003-03-07,comedia,PG-13,132675402,185481530
Piglet's Big Movie,2003-03-21,comedia,G,23103423,32298812
Ghosts of the Abyss,2003-04-11,documentario,G,17093668,23803108
Holes,2003-04-18,drama,PG,67383924,94203395
The Lizzie McGuire Movie,2003-05-02,comedia,PG,42734455,59743191
Finding Nemo,2003-05-30,aventura,G,380529370,518148559
Pirates of the Caribbean: The Curse o…,2003-07-09,aventura,PG-13,305411224,426967926
Freaky Friday,2003-08-06,comedia,PG,110222438,154090360
Open Range,2003-08-15,ocidental,R,58331254,81547672
Cold Creek Manor,2003-09-19,suspense,R,21384035,29895090
Under the Tuscan Sun,2003-09-26,comedia,PG-13,43601508,60944053
Veronica Guerin,2003-10-17,drama,R,1569918,2194759
Brother Bear,2003-10-24,aventura,G,85336277,119218333
The Haunted Mansion,2003-11-26,comedia,PG,75817994,105775678
Calendar Girls,2003-12-19,comedia,PG-13,31011616,42379650
Young Black Stallion,2003-12-25,aventura,G,6751389,9254344
Teacher's Pet: The Movie,2004-01-16,comedia,PG,6491969,8812764
Miracle,2004-02-06,drama,PG,64378093,87392478
Confessions of a Teenage Drama Queen,2004-02-20,comedia,PG,29331068,39816568
Hidalgo,2004-03-05,ocidental,PG-13,67286731,91340921
The Ladykillers,2004-03-26,comedia,R,39692139,53881593
Home on the Range,2004-04-02,comedia,PG,50026353,67910166
The Alamo,2004-04-09,ocidental,PG-13,22406362,30416359
Raising Helen,2004-05-28,comedia,PG-13,37485528,50886144
Around the World in 80 Days,2004-06-16,aventura,PG,24004159,32585356
America's Heart and Soul,2004-07-02,documentario,Not Rated,314000,426246
King Arthur,2004-07-07,aventura,PG-13,51877963,70423706
The Village,2004-07-30,suspense,PG-13,114197520,155021748
The Princess Diaries 2: Royal Engagement,2004-08-11,comedia_romantica,G,95149435,129164207
Mr. 3000,2004-09-17,comedia,PG-13,21800302,29593641
The Last Shot,2004-09-24,comedia,R,463730,629502
Ladder 49,2004-10-01,acao,PG-13,74541707,101161045
The Incredibles,2004-11-05,aventura,PG,261441092,354488708
National Treasure,2004-11-19,aventura,PG,173005002,234069353
The Life Aquatic with Steve Zissou,2004-12-10,comedia,R,24006726,32198655
Aliens of the Deep,2005-01-28,documentario,G,8968684,11740942
Pooh's Heffalump Movie,2005-02-11,aventura,G,18098433,23801835
The Pacifier,2005-03-04,comedia,PG,113006880,148619029
Ice Princess,2005-03-18,comedia,G,24381334,32064685
A Lot Like Love,2005-04-22,comedia,PG-13,21835784,28716947
The Hitchhiker's Guide to the Galaxy,2005-04-29,comedia,PG,51019112,67096891
Hauru no ugoku shiro,2005-06-10,aventura,PG,4710455,6194870
Herbie: Fully Loaded,2005-06-22,comedia,G,66010682,86812798
Dark Water,2005-07-08,suspense,PG-13,25473093,33500491
Sky High,2005-07-29,aventura,PG,63939454,84088854
Valiant,2005-08-19,aventura,G,19478106,25616292
Flightplan,2005-09-23,suspense,PG-13,89706988,117960425
The Greatest Game Ever Played,2005-09-30,drama,PG,15331289,20162672
Shopgirl,2005-10-21,drama,R,10284523,13519621
Chicken Little,2005-11-04,aventura,G,135386665,177954661
"The Chronicles of Narnia: The Lion, t…",2005-12-09,aventura,PG,291710957,381557539
Casanova,2005-12-25,drama,R,11304403,14574087
Glory Road,2006-01-13,drama,PG,42647449,54888236
Annapolis,2006-01-27,drama,PG-13,17127992,22044113
Roving Mars,2006-01-27,documentario,G,10407978,12948025
Eight Below,2006-02-17,aventura,PG,81612565,105037235
The Shaggy Dog,2006-03-10,comedia,PG,61123569,78667428
Stay Alive,2006-03-24,terror,PG-13,23086480,29712825
The Wild,2006-04-14,aventura,G,37384046,48114115
Stick It,2006-04-28,comedia,PG-13,26910736,34634731
Goal! The Dream Begins,2006-05-12,drama,PG,4283255,5512647
Cars,2006-06-09,comedia,G,244082982,314140384
Pirates of the Caribbean: Dead Man’…,2006-07-07,aventura,PG-13,423315812,544817142
Step Up,2006-08-11,drama,PG-13,65328121,84078780
Invincible,2006-08-25,drama,PG,57806952,74398864
The Guardian,2006-09-29,acao,PG-13,55011732,70801353
The Prestige,2006-10-20,suspense,PG-13,53089891,68289913
Tim Burton's The Nightmare Before Chr…,2006-10-20,musical,PG,24732041,30737517
The Santa Clause 3: The Escape Clause,2006-11-03,comedia,G,84500122,108694869
Déjà Vu,2006-11-22,suspense,PG-13,64038616,82267038
Apocalypto,2006-12-08,aventura,R,50866635,64959548
Primeval,2007-01-12,aventura,R,10597734,12985302
Bridge to Terabithia,2007-02-16,drama,PG,82234139,100760721
Wild Hogs,2007-03-02,comedia,PG-13,168213584,206110533
Meet the Robinsons,2007-03-30,aventura,G,97822171,119860589
The Lookout,2007-03-30,drama,R,4600585,5637048
The Hoax,2007-04-06,drama,R,7164995,8779196
The Invisible,2007-04-27,suspense,PG-13,20568319,25202168
Pirates of the Caribbean: At World’…,2007-05-24,aventura,PG-13,309420425,379129960
Ratatouille,2007-06-29,comedia,G,206445654,252955933
Underdog,2007-08-03,aventura,PG,43760605,53619462
The Game Plan,2007-09-22,comedia,PG,90648202,111010758
Dan in Real Life,2007-10-20,comedia_romantica,PG-13,47642963,58350234
Enchanted,2007-11-21,comedia_romantica,PG,127706877,156074310
National Treasure 2: Book of Secrets,2007-12-21,aventura,PG,219961501,267003525
Hannah Montana/Miley Cyrus: Best of B…,2008-02-01,concerto_performance,G,65281781,76646993
Step Up 2 the Streets,2008-02-14,drama,PG-13,58017783,68118371
College Road Trip,2008-03-07,comedia,G,45610425,53550960
The Chronicles of Narnia: Prince Caspian,2008-05-16,aventura,PG,141621490,166277038
WALL-E,2008-06-27,aventura,G,223808164,262771918
Swing Vote,2008-08-01,comedia,PG-13,16289867,19125841
Goal! 2: Living the Dream...,2008-08-29,drama,PG-13,225067,264247
Miracle at St. Anna,2008-09-26,drama,R,7916887,9295171
Beverly Hills Chihuahua,2008-10-03,comedia,PG,94514402,110932022
Morning Light,2008-10-17,documentario,PG,275093,322979
High School Musical 3: Senior Year,2008-10-24,musical,G,90559416,106308538
Bolt,2008-11-21,comedia,PG,114053759,133702498
Bedtime Stories,2008-12-25,comedia,PG,110101975,128039679
Confessions of a Shopaholic,2009-02-13,comedia_romantica,PG,44277350,49767744
Jonas Brothers: The 3D Concert Experi…,2009-02-27,concerto_performance,G,38174685,38174685
Race to Witch Mountain,2009-03-13,aventura,PG,67172594,75501997
Hannah Montana the Movie,2009-04-10,drama,G,79576189,89443640
Earth,2009-04-22,documentario,G,32011576,35981010
Up,2009-05-29,aventura,PG,293004164,329336681
The Proposal,2009-06-19,comedia_romantica,PG-13,163958031,184288829
G-Force,2009-07-24,aventura,PG,119436770,134246932
Gake no ue no Ponyo,2009-08-14,aventura,G,15090399,16961607
X Games 3D: The Movie,2009-08-21,documentario,PG,1391434,1563976
Walt and El Grupo,2009-09-10,documentario,PG,20521,23064
Surrogates,2009-09-25,acao,PG-13,38577772,43361416
Toy Story 3D Double Feature,2009-10-02,aventura,G,30702446,34509545
Disney's A Christmas Carol,2009-11-06,drama,PG,137855863,154927105
The Princess and the Frog,2009-11-25,aventura,G,104400899,116316457
Old Dogs,2009-11-25,comedia,PG,49492060,55503929
When in Rome,2010-01-29,comedia_romantica,PG-13,32680633,34917330
Alice in Wonderland,2010-03-05,aventura,PG,334191110,357063499
Waking Sleeping Beauty,2010-03-26,documentario,PG,80741,86264
The Last Song,2010-03-31,drama,PG,62950384,67258772
Oceans,2010-04-22,documentario,G,19422319,20751600
Prince of Persia: Sands of Time,2010-05-28,acao,PG-13,90759676,96971361
Toy Story 3,2010-06-18,aventura,G,415004880,443408255
The Sorcerer's Apprentice,2010-07-14,aventura,PG,63150991,67473105
Step Up 3D,2010-08-06,drama,PG-13,42400223,45302137
Gedo Senki (Tales from Earthsea),2010-08-13,aventura,PG-13,48658,51988
You Again,2010-09-24,comedia,PG,25702053,27461121
Secretariat,2010-10-08,drama,PG,59699513,63781920
Tangled,2010-11-24,aventura,PG,200821936,214388548
Tron: Legacy,2010-12-17,aventura,PG,172062763,183619259
Gnomeo and Juliet,2011-02-11,comedia,G,99967670,106270797
I am Number Four,2011-02-18,aventura,PG-13,55100437,58574607
Mars Needs Moms,2011-03-11,aventura,PG,21392758,22741603
African Cats,2011-04-22,documentario,G,15428747,16401551
Zokkomon,2011-04-22,aventura,PG,2815,2984
Prom,2011-04-29,comedia,PG,10130219,10768946
Pirates of the Caribbean: On Stranger…,2011-05-20,aventura,PG-13,241063875,256263359
Cars 2,2011-06-24,aventura,G,191450875,203522177
Winnie the Pooh,2011-07-15,aventura,G,26692846,28375869
The Help,2011-08-10,drama,PG-13,169705587,180404976
Fright Night,2011-08-19,terror,R,18298649,19452402
Real Steel,2011-10-07,acao,PG-13,85463309,90848019
The Muppets,2011-11-23,comedia,PG,88625922,94189503
War Horse,2011-12-25,drama,PG-13,79883359,84762149
The Secret World of Arietty,2012-02-17,aventura,G,19192510,20325733
John Carter,2012-03-09,aventura,PG-13,73058679,77372445
Chimpanzee,2012-04-20,documentario,G,28965459,30675725
The Avengers,2012-05-04,acao,PG-13,623279547,660081224
Brave,2012-06-22,aventura,PG,237282182,251292441
People Like Us,2012-06-29,drama,PG-13,12431792,13165822
The Odd Life of Timothy Green,2012-08-15,drama,PG,51853450,54914942
Frankenweenie,2012-10-05,comedia,PG,35287788,37363513
Wreck-It Ralph,2012-11-02,aventura,PG,189412677,200354959
Lincoln,2012-11-09,drama,PG-13,182207973,192122330
Oz the Great and Powerful,2013-03-08,aventura,PG,234770996,243434130
Iron Man 3,2013-05-03,acao,PG-13,408992272,424084233
Monsters University,2013-06-21,aventura,G,268488329,278395641
The Lone Ranger,2013-07-02,ocidental,PG-13,89302115,92597388
Disney Planes,2013-08-09,comedia,PG,90282580,93614037
The Fifth Estate,2013-10-18,drama,R,3254172,3374251
Thor: The Dark World,2013-11-08,aventura,PG-13,206362140,213962184
Kaze Tachinu,2013-11-08,drama,PG-13,5201879,5367415
Frozen,2013-11-22,aventura,PG,400738009,414997174
Delivery Man,2013-11-22,comedia,PG-13,30659817,31787136
Saving Mr. Banks,2013-12-13,drama,PG-13,83299761,86249969
Need for Speed,2014-03-14,acao,PG-13,43568507,44955015
Muppets Most Wanted,2014-03-21,comedia,PG,51178893,52807594
Captain America: The Winter Soldier,2014-04-04,acao,PG-13,259746958,268013076
Bears,2014-04-18,documentario,G,17780194,18346024
Million Dollar Arm,2014-05-10,drama,PG,36447959,37607865
Maleficent,2014-05-30,aventura,PG,241407328,249089809
Planes: Fire and Rescue,2014-07-18,aventura,PG,59157732,61040349
Guardians of the Galaxy,2014-08-01,aventura,PG-13,333172112,343771168
The Hundred-Foot Journey,2014-08-08,comedia_romantica,PG,54235441,55961409
"Alexander and the Terrible, Horrible,…",2014-10-10,comedia,PG,66954149,69055550
Big Hero 6,2014-11-07,aventura,PG,222527828,229249222
Into the Woods,2014-12-25,musical,PG,128002372,130894237
Strange Magic,2015-01-23,aventura,PG,12429583,12429583
"McFarland, USA",2015-02-20,drama,PG,44480275,44480275
Cinderella,2015-03-13,drama,PG,201151353,201151353
Monkey Kingdom,2015-04-17,documentario,G,16432322,16432322
Avengers: Age of Ultron,2015-05-01,acao,PG-13,459005868,459005868
Tomorrowland,2015-05-22,aventura,PG,93436322,93436322
Inside Out,2015-06-19,aventura,PG,356461711,356461711
Ant-Man,2015-07-17,acao,PG-13,180202163,180202163
Bridge of Spies,2015-10-16,suspense,PG-13,72313754,72313754
The Good Dinosaur,2015-11-25,aventura,PG,123087120,123087120
Star Wars Ep. VII: The Force Awakens,2015-12-18,aventura,PG-13,936662225,936662225
The Finest Hours,2016-01-29,suspense,PG,27569558,27569558
Zootopia,2016-03-04,aventura,PG,341268248,341268248
The Jungle Book,2016-04-15,aventura,PG,364001123,364001123
A Beautiful Planet,2016-04-29,documentario,G,7895708,7895708
Captain America: Civil War,2016-05-06,acao,PG-13,408084349,408084349
Alice Through the Looking Glass,2016-05-27,aventura,PG,77042381,77042381
Finding Dory,2016-06-17,aventura,PG,486295561,486295561
The BFG,2016-07-01,aventura,PG,55483770,55483770
Pete’s Dragon,2016-08-12,aventura,PG,76233151,76233151
The Light Between Oceans,2016-09-02,drama,PG-13,12545979,12545979
Queen of Katwe,2016-09-23,drama,PG,8874389,8874389
Doctor Strange,2016-11-04,aventura,PG-13,232532923,232532923
Moana,2016-11-23,aventura,PG,246082029,246082029
Rogue One: A Star Wars Story,2016-12-16,aventura,PG-13,529483936,529483936
